Station Name,Station Id,State Name,Elevation,Latitude,Longitude
Hoosier Pass,531,COLORADO,11400,39.36127,-106.05978
Hopewell,532,NEW MEXICO,10000,36.71631,-106.26348
Horse Meadow,1050,CALIFORNIA,8557,38.83652,-119.88732
Horse Ridge,533,UTAH,8199,41.31372,-111.44624
Hourglass Lake,1122,COLORADO,9380,40.57913,-105.63068
Howell Canyon,534,IDAHO,7980,42.32029,-113.61587
Huntington Horse,1216,UTAH,9652,39.61774,-111.30576
Hyndman,537,IDAHO,7620,43.71077,-114.15894
Idarado,538,COLORADO,9800,37.9339,-107.67552
Independence Lake,541,CALIFORNIA,8338,39.42752,-120.31342
Independence Pass,542,COLORADO,10600,39.07539,-106.61169
Indian Canyon,543,UTAH,9171,39.89166,-110.74604
Indian Creek,544,WYOMING,9425,42.30023,-110.67753
Ivanhoe,547,COLORADO,10400,39.29202,-106.54923
Jack Creek Upper,548,NEVADA,7377,41.54675,-116.00517
Jacks Peak,549,NEVADA,8424,41.5136,-116.0117
Jackson Peak,550,IDAHO,7070,44.05092,-115.44322
Jackwhacker Gulch,935,COLORADO,10960,39.56667,-105.8
JL Meadow,1287,MONTANA,8800,44.77665,-113.12217
Joe Wright,551,COLORADO,10120,40.53215,-105.887
Jones Corral,1099,UTAH,9749,38.07125,-112.16788
Jones Pass,970,COLORADO,10400,39.7645,-105.90623
Kalamazoo,1150,NEVADA,7775,39.5579,-114.62762
Kelley R.S.,554,WYOMING,8180,42.26554,-110.80177
Kendall R.S.,555,WYOMING,7740,43.2493,-110.01662
Kilfoil Creek,1145,UTAH,7220,41.24764,-111.41249
Kiln,556,COLORADO,9600,39.31724,-106.61453
Kimberly Mine,557,UTAH,9101,38.48383,-112.39273
Kings Cabin,559,UTAH,8728,40.71632,-109.54401
Kirwin,560,WYOMING,9550,43.86067,-109.32163
Klondike Narrows,1115,UTAH,7250,41.96769,-111.59713
Kolob,561,UTAH,9263,37.52664,-113.05386
Lake Eldora,564,COLORADO,9700,39.93678,-105.58956
Lake Irene,565,COLORADO,10700,40.41432,-105.8198
Lakefork #1,566,UTAH,10128,40.59709,-110.43316
Lakefork #3,1116,UTAH,8464,40.5502,-110.3529
Lakefork Basin,513,UTAH,10885,40.73785,-110.62121
Lakeview Ridge,568,MONTANA,7400,44.58907,-111.82498
Lamoille #3,570,NEVADA,8051,40.6448,-115.3812
Laprele Creek,571,WYOMING,8375,42.43583,-105.86083
Larsen Creek,1134,WYOMING,9000,42.5801,-109.0883
Lasal Mountain,572,UTAH,9578,38.48226,-109.27198
Lasal Mountain-Lower,1215,UTAH,8783,38.48167,-109.29164
Leavitt Lake,574,CALIFORNIA,9604,38.27594,-119.61281
Leavitt Meadows,575,CALIFORNIA,7198,38.30367,-119.55111
Lee Canyon,1112,NEVADA,8626,36.30537,-115.67508
Lemhi Ridge,576,MONTANA,8100,44.9938,-113.44399
Lewis Lake Divide,577,WYOMING,7850,44.20862,-110.66628
Lewis Peak,1006,NEVADA,7370,40.3572,-116.8647
Lightning Ridge,1056,UTAH,8215,41.35891,-111.48749
Lily Lake,579,UTAH,9133,40.86493,-110.79813
Lily Pond,580,COLORADO,11000,37.37929,-106.54835
Little Goose,1131,WYOMING,8870,44.54315,-107.17865
Little Snake River,1047,WYOMING,8915,41.07053,-106.94283
Little Warm,585,WYOMING,9370,43.50278,-109.752
Lizard Head Pass,586,COLORADO,10200,37.79926,-107.92426
Lobdell Lake,587,CALIFORNIA,9249,38.43745,-119.36572
Lone Cone,589,COLORADO,9600,37.89183,-108.19544
Lone Mountain,590,MONTANA,8880,45.27412,-111.42692
Lonesome Beaver,1261,UTAH,9410,38.07,-110.77241
Long Draw Resv,1123,COLORADO,9980,40.5123,-105.7656
Long Flat,592,UTAH,7982,37.51255,-113.39661
Long Valley Jct,593,UTAH,7465,37.48756,-112.51458
Lookout Mountain,595,NEW MEXICO,8500,33.36027,-107.83122
Lookout Peak,596,UTAH,8161,40.83731,-111.70965
Loomis Park,597,WYOMING,8240,43.17387,-110.14007
Lost Dog,940,COLORADO,9320,40.81588,-106.74835
Lost-Wood Divide,601,IDAHO,7900,43.82432,-114.26402
Loveland Basin,602,COLORADO,11400,39.67433,-105.90133
Lower Twin,603,MONTANA,7900,45.50871,-111.92288
Lynx Pass,607,COLORADO,8880,40.07806,-106.67028
